Metabolite Name,Converted Metabolite Name,Metabolite Module Number,Cytokine Name,Cytokine Module Number,Weight
X2216,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),3,Cyt_TNF.a,2,0.07400000095367432
X2638,1-dihomo-linolenylglycerol (20:3),3,Cyt_RANTES,3,0.07699999958276749
X4182,3-hydroxyhippurate,4,Cyt_MIP.1a,0,0.09399999678134918
X255,N-ethylglycinexylidide,4,Cyt_IL.15,5,-0.09700000286102295
X1653,butyrylcarnitine (C4),7,Cyt_CTACK,0,0.07100000232458115
X4553,erythritol,7,Cyt_IL.10,1,0.05999999865889549
X171,3-(4-hydroxyphenyl)lactate,7,Cyt_HGF,2,0.052000001072883606
X2647,2-oleoylglycerol (18:1),7,Cyt_IL.15,5,-0.05000000074505806
X3107,"5alpha-androstan-3alpha,17alpha-diol monosulfate",0,Cyt_IP.10,3,-0.06300000101327896
X392,methionine,5,Cyt_CTACK,0,0.061000000685453415
X4182,3-hydroxyhippurate,4,Cyt_MIP.1a,0,0.09399999678134918
X392,methionine,5,Cyt_CTACK,0,0.061000000685453415
X1653,butyrylcarnitine (C4),7,Cyt_CTACK,0,0.07100000232458115
X4553,erythritol,7,Cyt_IL.10,1,0.05999999865889549
X2216,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),3,Cyt_TNF.a,2,0.07400000095367432
X171,3-(4-hydroxyphenyl)lactate,7,Cyt_HGF,2,0.052000001072883606
X255,N-ethylglycinexylidide,4,Cyt_IL.15,5,-0.09700000286102295
X2647,2-oleoylglycerol (18:1),7,Cyt_IL.15,5,-0.05000000074505806
X3107,"5alpha-androstan-3alpha,17alpha-diol monosulfate",0,Cyt_IP.10,3,-0.06300000101327896
X2638,1-dihomo-linolenylglycerol (20:3),3,Cyt_RANTES,3,0.07699999958276749
