Metabolite Name,Old Metabolite Name,Metabolite Module Number,Microbiome Name,Microbiome Module Number,Weight
eicosenedioate (C20:1-DC)*,X1588,0,SS_Barnesiella.viscericola,0,-0.2549999952316284
"1,2-dipalmitoyl-GPC (16:0/16:0)",X2092,1,SS_Muribaculum.intestinale,0,-0.11400000005960464
3-ureidopropionate,X3969,2,SS_Parascardovia.denticolens,0,0.16899999976158142
oxypurinol,X215,3,SS_Klebsiella.oxytoca,0,0.20600000023841858
adipoylcarnitine (C6-DC),X1750,4,SS_Limosilactobacillus.fermentum,0,0.09200000017881393
methionine,X392,5,SS_Muribaculum.intestinale,0,-0.02199999988079071
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,X2093,6,SS_Muribaculum.intestinale,0,-0.10899999737739563
deoxycholic acid (12 or 24)-sulfate*,X3220,7,SS_Parascardovia.denticolens,0,0.210999995470047
eicosenedioate (C20:1-DC)*,X1588,0,SS_Barnesiella.viscericola,0,-0.2549999952316284
4-hydroxychlorothalonil,X5652,0,SS_Muribaculum.gordoncarteri,1,0.2199999988079071
"12,13-DiHOME",X1861,0,SS_Bacteroides.fragilis,2,-0.057999998331069946
eicosenedioate (C20:1-DC)*,X1588,0,SS_Coprococcus.comes,3,-0.0430000014603138
malate,X1556,0,SS_Eggerthella.sp..YY7918,4,0.17299999296665192
carotene diol (3),X4153,0,SS_Phocaeicola.vulgatus,5,-0.20999999344348907
dehydroepiandrosterone sulfate (DHEA-S),X3090,0,SS_Mageeibacillus.indolicus,6,0.0989999994635582
"N6,N6,N6-trimethyllysine",X109,0,SS_Streptococcus.thermophilus,7,0.009999999776482582
"1,6-anhydroglucose",X4428,0,SS_Coprobacter.sp..2CBH44,8,-0.26100000739097595
2-aminobutyrate,X526,0,SS_Dialister.massiliensis,9,0.16899999976158142
"1,2-dipalmitoyl-GPC (16:0/16:0)",X2092,1,SS_Muribaculum.intestinale,0,-0.11400000005960464
"1,5-anhydroglucitol (1,5-AG)",X1129,1,SS_Bifidobacterium.animalis,1,0.4300000071525574
lactate,X2854,1,SS_Campylobacter.coli,2,0.0430000014603138
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,X2581,1,SS_Bacteroides.helcogenes,3,0.3630000054836273
"sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*",X2880,1,SS_Adlercreutzia.equolifaciens,4,0.061000000685453415
"sphingomyelin (d17:1/14:0, d16:1/15:0)*",X2879,1,SS_Lautropia.mirabilis,5,0.4189999997615814
"1,5-anhydroglucitol (1,5-AG)",X1129,1,SS_Anaerostipes.hadrus,6,-0.1120000034570694
arachidoylcarnitine (C20)*,X1716,1,SS_Desulfobulbus.oralis,7,-0.08100000023841858
1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*,X2123,1,SS_Propionibacterium.acidifaciens,8,-0.2919999957084656
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,X2851,1,SS_Dialister.massiliensis,9,0.3889999985694885
3-ureidopropionate,X3969,2,SS_Parascardovia.denticolens,0,0.16899999976158142
taurolithocholate,X3238,2,SS_Phocaeicola.coprophilus,1,-0.289000004529953
glutamine conjugate of C6H10O2 (2)*,X5775,2,SS_Lachnoclostridium.sp..YL32,2,-0.10499999672174454
taurocholenate sulfate*,X3226,2,SS_Bacteroides.helcogenes,3,-0.597000002861023
hexanoylglycine,X4176,2,SS_Clostridium.perfringens,4,0.19099999964237213
4-hydroxycoumarin,X5206,2,SS_Trueperella.pyogenes,5,-0.2879999876022339
3-phenylpropionate (hydrocinnamate),X4278,2,SS_Streptococcus.anginosus,6,0.20000000298023224
3-hydroxyhexanoylcarnitine (1),X1762,2,SS_Bacteroides.sp..HF.162,7,-0.23100000619888306
glutamine,X5773,2,SS_Porphyromonas.asaccharolytica,8,-0.25999999046325684
heptenedioate (C7:1-DC)*,X1454,2,SS_Treponema.sp..RCC2812,9,0.06800000369548798
oxypurinol,X215,3,SS_Klebsiella.oxytoca,0,0.20600000023841858
N-acetylvaline,X2798,3,SS_Parolsenella.catena,1,-0.1509999930858612
oxypurinol,X215,3,SS_Campylobacter.coli,2,-0.03500000014901161
glycerol,X2619,3,SS_Romboutsia.ilealis,3,-0.17800000309944153
sarcosine,X1566,3,SS_Adlercreutzia.sp..8CFCBH1,4,0.07900000363588333
