Metabolite Name,Converted Metabolite Name,Metabolite Module Number,Cytokine Name,Cytokine Module Number,Weight
X1794,alpha-hydroxycaproate,7,Cyt_SCGF.b,1,-0.16200000047683716
X1418,palmitate (16:0),7,Cyt_b.NGF,2,0.19499999284744263
X126,6-oxopiperidine-2-carboxylate,0,Cyt_IL.4,0,0.18799999356269836
X77,formiminoglutamate,0,Cyt_SCGF.b,1,0.09799999743700027
X401,"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",0,Cyt_b.NGF,2,0.1940000057220459
X401,"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",0,Cyt_IL.8,3,0.10700000077486038
X497,(N(1) + N(8))-acetylspermidine,0,Cyt_IL.10,4,0.18799999356269836
X76,imidazole lactate,1,Cyt_IL.4,0,-0.0860000029206276
X4444,3-formylindole,1,Cyt_SCGF.b,1,-0.13899999856948853
X143,phenyllactate (PLA),1,Cyt_IL.8,3,0.09700000286102295
X76,imidazole lactate,1,Cyt_IL.10,4,0.2549999952316284
X3252,glycoursodeoxycholate,2,Cyt_IL.4,0,0.16699999570846558
X2058,trigonelline (N'-methylnicotinate),2,Cyt_SCGF.b,1,0.1469999998807907
X448,N-acetylalliin,2,Cyt_b.NGF,2,0.13899999856948853
X3260,hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**,2,Cyt_IL.10,4,0.2199999988079071
X3138,"5alpha-androstan-3beta,17alpha-diol disulfate",3,Cyt_SCGF.b,1,0.15299999713897705
X3138,"5alpha-androstan-3beta,17alpha-diol disulfate",3,Cyt_b.NGF,2,0.07199999690055847
X4176,hexanoylglycine,3,Cyt_IL.10,4,0.2720000147819519
X16,threonate,4,Cyt_IL.4,0,0.17100000381469727
X16,threonate,4,Cyt_SCGF.b,1,0.20200000703334808
X239,N-acetylthreonine,4,Cyt_b.NGF,2,0.1770000010728836
X134,N-acetylneuraminate,4,Cyt_IL.8,3,0.13300000131130219
X86,1-methyl-4-imidazoleacetate,4,Cyt_IL.10,4,0.16300000250339508
X526,2-aminobutyrate,5,Cyt_SCGF.b,1,0.05700000002980232
X463,pregnenolone sulfate,5,Cyt_b.NGF,2,-0.17499999701976776
X4594,indolepropionate,5,Cyt_IL.8,3,-0.05999999865889549
X4049,N1-Methyl-2-pyridone-5-carboxamide,6,Cyt_IL.4,0,0.3499999940395355
X4041,1-methylnicotinamide,6,Cyt_SCGF.b,1,0.1589999943971634
X4049,N1-Methyl-2-pyridone-5-carboxamide,6,Cyt_b.NGF,2,0.22100000083446503
X4049,N1-Methyl-2-pyridone-5-carboxamide,6,Cyt_IL.10,4,0.24500000476837158
X444,pro-hydroxy-pro,8,Cyt_IL.4,0,-0.1850000023841858
X28,alanine,8,Cyt_SCGF.b,1,-0.14499999582767487
X519,cysteine-glutathione disulfide,8,Cyt_b.NGF,2,-0.3499999940395355
X444,pro-hydroxy-pro,8,Cyt_IL.8,3,-0.0989999994635582
X28,alanine,8,Cyt_IL.10,4,0.2770000100135803
X3217,deoxycholate,9,Cyt_IL.4,0,-0.2280000001192093
X3217,deoxycholate,9,Cyt_SCGF.b,1,-0.2549999952316284
X3217,deoxycholate,9,Cyt_b.NGF,2,-0.28600001335144043
X3217,deoxycholate,9,Cyt_IL.8,3,-0.25099998712539673
X3217,deoxycholate,9,Cyt_IL.10,4,0.11999999731779099
